_id,Municipality,Tier,Region,Affordable purchase price of a detached house ($),Affordable purchase price of a semi-detached house ($),Affordable purchase price of a row/townhouse ($),Affordable purchase price of a condominium apartment ($),Purchase price based on income ($),Ninety per cent of average purchase price - detached ($),Ninety per cent of average purchase price - semi-detached ($),Ninety per cent of average purchase price - row/townhouse ($),Ninety per cent of average purchase price - condo apt ($),Average purchase price of a detached house ($),Average purchase price of a semi-detached house ($),Average purchase price of a row/townhouse ($),Average purchase price of a condominium apartment ($),Threshold applied for a detached house; and substitution ($),Threshold applied for a semi-detached; and substitution ($),Threshold applied for a row/townhouse; and substitution ($),Threshold applied for a condo apartment; and substitution ($),Affordable monthly rent of a bachelor unit ($),Affordable monthly rent of a 1-bedroom unit ($),Affordable monthly rent of a 2-bedroom unit ($),Affordable monthly rent of a 3+ bedroom unit ($),Rent based on income ($),Average market rent of a bachelor unit ($),Average market rent of a 1-bedroom unit ($),Average market rent of a 2-bedroom unit ($),Average market rent of a 3+ bedroom unit ($),Threshold applied for a bachelor unit; and substitution ($),Threshold applied for a 1-bedroom unit; and substitution ($),Threshold applied for a 2-bedroom unit; and substitution ($),Threshold applied for a 3+ bedroom unit; and substitution ($)
318,Ryerson Tp,ST,Northeastern,"296,800","261,000","296,800","296,800","296,800","675,000","261,000","612,000","675,000","750,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,530","1,530",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; CD
319,Sables-Spanish Rivers Tp,ST,Northeastern,"318,200","261,000","252,000","318,200","318,200","351,000","261,000","252,000","324,000","390,000","290,000","280,000","360,000",Income; Base,Price; Region,Price; Region,Income; Base,879,"1,173","1,430","1,480","1,480",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; Base
320,Sarnia C,LT,Western,"364,700","333,000","297,000","360,000","364,700","522,000","333,000","297,000","360,000","580,000","370,000","330,000","400,000",Income; Base,Price; Base,Price; Base,Price; Base,988,"1,249","1,527","1,700","1,700",988,"1,249","1,527","1,826",Rent; Base,Rent; Base,Rent; Base,Income; Base
321,Saugeen Shores T,LT,Western,"492,800","432,000","492,800","492,800","492,800","738,000","432,000","549,000","495,000","820,000","480,000","610,000","550,000",Income; Base,Price; Base,Income; Base,Income; Base,"1,082","1,177","1,790","1,828","1,870","1,082","1,177","1,790","1,828",Rent; Region,Rent; Base,Rent; Base,Rent; Base
322,Sault Ste Marie C,ST,Northeastern,"341,500","234,000","297,000","315,000","341,500","351,000","234,000","297,000","315,000","390,000","260,000","330,000","350,000",Income; Base,Price; Base,Price; Base,Price; Base,942,"1,168","1,363","1,465","1,480",942,"1,168","1,363","1,465",Rent; Base,Rent; Base,Rent; Base,Rent; Base
323,Schreiber Tp,ST,Northwestern,"351,000","243,000","333,000","306,000","376,400","351,000","243,000","333,000","306,000","390,000","270,000","370,000","340,000",Price; CD,Price; CD,Price; CD,Price; CD,976,"1,173","1,460","1,460","1,460",976,"1,173","1,495","1,864",Rent; CD,Rent; CD,Income; Base,Income; Base
324,Scugog Tp,LT,Central,"496,700","496,700","496,700","496,700","496,700","954,000","711,000","693,000","558,000","1,060,000","790,000","770,000","620,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,330","1,117","1,452","1,909","2,150","1,330","1,117","1,452","1,909",Rent; CD,Rent; Base,Rent; Base,Rent; CD
325,Seguin Tp,ST,Northeastern,"419,100","261,000","419,100","419,100","419,100","1,305,000","261,000","612,000","675,000","1,450,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,643","1,930",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Rent; Region
326,Selwyn Tp,LT,Eastern,"446,200","446,200","446,200","446,200","446,200","819,000","486,000","531,000","558,000","910,000","540,000","590,000","620,000",Income; Base,Income; Base,Income; Base,Income; Base,990,"1,245","1,518","1,700","1,700",990,"1,245","1,518","1,730",Rent; CD,Rent; CD,Rent; CD,Income; Base
327,Severn Tp,LT,Central,"430,700","430,700","430,700","430,700","430,700","882,000","639,000","630,000","567,000","980,000","710,000","700,000","630,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,003","1,475","1,651","1,660","1,660","1,003","1,475","1,651","1,833",Rent; CD,Rent; CD,Rent; CD,Income; Base
328,Shelburne T,LT,Western,"454,000","454,000","454,000","454,000","454,000","729,000","558,000","567,000","558,000","810,000","620,000","630,000","620,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,350","1,463","1,500","1,500","1,500","1,350","1,463","1,714","1,714",Rent; CD,Rent; CD,Income; Base,Income; Base
329,Shuniah M,ST,Northwestern,"492,800","243,000","333,000","306,000","492,800","513,000","243,000","333,000","306,000","570,000","270,000","370,000","340,000",Income; Base,Price; CD,Price; CD,Price; CD,976,"1,173","1,495","1,690","1,690",976,"1,173","1,495","1,864",Rent; CD,Rent; CD,Rent; CD,Income; CD
330,Sioux Lookout M,ST,Northwestern,"360,000","243,000","351,000","306,000","465,600","360,000","243,000","351,000","306,000","400,000","270,000","390,000","340,000",Price; Base,Price; Region,Price; CD,Price; Region,950,"1,005","1,479","1,851","2,320",950,"1,005","1,479","1,851",Rent; Region,Rent; CD,Rent; Region,Rent; Region
331,Sioux Narrows-Nestor Falls Tp,ST,Northwestern,"353,100","243,000","351,000","306,000","353,100","396,000","243,000","351,000","306,000","440,000","270,000","390,000","340,000",Income; Base,Price; Region,Price; CD,Price; Region,950,"1,005","1,479","1,851","1,940",950,"1,005","1,479","1,851",Rent; Region,Rent; CD,Rent; Region,Rent; Region
332,Smiths Falls ST,ST,Eastern,"285,200","285,200","285,200","285,200","285,200","396,000","459,000","711,000","387,000","440,000","510,000","790,000","430,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,281","1,510","1,510","1,510","1,510","1,281","1,519","2,361","2,142",Rent; Region,Income; Base,Income; Base,Income; Base
333,Smooth Rock Falls T,ST,Northeastern,"279,000","198,000","207,000","304,600","304,600","279,000","198,000","207,000","315,000","310,000","220,000","230,000","350,000",Price; CD,Price; CD,Price; CD,Income; Base,859,"1,185","1,299","1,300","1,300",859,"1,185","1,299","1,410",Rent; CD,Rent; CD,Rent; CD,Income; Base
334,South Algonquin Tp,ST,Northeastern,"267,700","267,700","267,700","267,700","267,700","450,000","333,000","306,000","333,000","500,000","370,000","340,000","370,000",Income; Base,Income; Base,Income; Base,Income; Base,807,"1,051","1,367","1,570","1,570",807,"1,051","1,367","1,682",Rent; CD,Rent; CD,Rent; CD,Income; CD
335,South Bruce M,LT,Western,"395,800","395,800","395,800","395,800","395,800","576,000","459,000","531,000","549,000","640,000","510,000","590,000","610,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,082","1,254","1,783","1,828","2,080","1,082","1,254","1,783","1,828",Rent; Region,Rent; CD,Rent; CD,Rent; CD
336,South Dundas Tp,LT,Eastern,"364,700","306,000","324,000","324,000","364,700","423,000","306,000","324,000","324,000","470,000","340,000","360,000","360,000",Income; Base,Price; Base,Price; CD,Price; CD,951,"1,078","1,277","1,363","1,660",951,"1,078","1,277","1,363",Rent; CD,Rent; CD,Rent; CD,Rent; CD
337,South Frontenac Tp,LT,Eastern,"465,600","459,000","465,600","432,000","465,600","639,000","459,000","513,000","432,000","710,000","510,000","570,000","480,000",Income; Base,Price; CD,Income; Base,Price; CD,"1,202","1,505","1,767","1,900","1,900","1,202","1,505","1,767","2,710",Rent; CD,Rent; CD,Rent; CD,Income; Base
338,South Glengarry Tp,LT,Eastern,"415,200","351,000","324,000","324,000","415,200","504,000","351,000","324,000","324,000","560,000","390,000","360,000","360,000",Income; Base,Price; CD,Price; CD,Price; CD,951,"1,078","1,277","1,363","1,930",951,"1,078","1,277","1,363",Rent; CD,Rent; CD,Rent; CD,Rent; CD
339,South Huron M,LT,Western,"357,000","357,000","357,000","357,000","357,000","648,000","450,000","504,000","495,000","720,000","500,000","560,000","550,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,082","1,205","1,750","1,744","1,750","1,082","1,205","1,804","1,744",Rent; Region,Rent; Base,Income; Base,Rent; Region
340,South River V,ST,Northeastern,"279,400","261,000","279,400","279,400","279,400","423,000","261,000","612,000","675,000","470,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,440","1,440",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; Base
341,South Stormont Tp,LT,Eastern,"423,000","351,000","324,000","324,000","423,000","477,000","351,000","324,000","324,000","530,000","390,000","360,000","360,000",Income; Base,Price; CD,Price; CD,Price; CD,951,"1,078","1,277","1,363","2,110",951,"1,078","1,277","1,363",Rent; CD,Rent; CD,Rent; CD,Rent; CD
342,Southgate Tp,LT,Western,"391,900","391,900","391,900","391,900","391,900","684,000","621,000","630,000","567,000","760,000","690,000","700,000","630,000",Income; Base,Income; Base,Income; Base,Income; Base,929,"1,101","1,243","1,350","2,270",929,"1,101","1,243","1,350",Rent; CD,Rent; CD,Rent; CD,Rent; CD
343,Southwest Middlesex M,LT,Western,"368,600","368,600","368,600","368,600","368,600","522,000","441,000","468,000","423,000","580,000","490,000","520,000","470,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,079","1,381","1,510","1,510","1,510","1,079","1,381","1,654","1,976",Rent; CD,Rent; CD,Income; Base,Income; Base
344,South-West Oxford Tp,LT,Western,"438,500","438,500","438,500","438,500","438,500","702,000","495,000","477,000","576,000","780,000","550,000","530,000","640,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,026","1,350","1,572","1,926","2,540","1,026","1,350","1,572","1,926",Rent; CD,Rent; CD,Rent; CD,Rent; CD
345,Southwold Tp,LT,Western,"473,400","450,000","473,400","473,400","473,400","747,000","450,000","513,000","513,000","830,000","500,000","570,000","570,000",Income; Base,Price; CD,Income; Base,Income; Base,959,"1,187","1,599","2,241","2,450",959,"1,187","1,599","2,241",Rent; CD,Rent; CD,Rent; CD,Rent; CD
346,Spanish T,ST,Northeastern,"195,600","195,600","195,600","195,600","195,600","342,000","207,000","234,000","306,000","380,000","230,000","260,000","340,000",Income; Base,Income; Base,Income; Base,Income; Base,918,"1,109","1,249","1,329","1,460",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
347,Springwater Tp,LT,Central,"554,900","554,900","554,900","554,900","554,900","1,035,000","639,000","630,000","711,000","1,150,000","710,000","700,000","790,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,003","1,475","1,651","1,833","2,120","1,003","1,475","1,651","1,833",Rent; CD,Rent; CD,Rent; CD,Rent; CD
348,St Catharines C,LT,Central,"333,700","333,700","333,700","333,700","333,700","648,000","504,000","576,000","441,000","720,000","560,000","640,000","490,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,212","1,387","1,626","1,690","1,690","1,212","1,387","1,626","1,801",Rent; Base,Rent; Base,Rent; Base,Income; Base
349,St Clair Tp,LT,Western,"457,900","360,000","315,000","405,000","457,900","558,000","360,000","315,000","405,000","620,000","400,000","350,000","450,000",Income; Base,Price; CD,Price; Base,Price; CD,988,"1,249","1,522","1,712","2,180",988,"1,249","1,522","1,712",Rent; CD,Rent; CD,Rent; CD,Rent; CD
350,St Joseph Tp,ST,Northeastern,"405,000","207,000","234,000","306,000","411,300","405,000","207,000","234,000","306,000","450,000","230,000","260,000","340,000",Price; Base,Price; CD,Price; CD,Price; CD,918,"1,109","1,249","1,329","1,460",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
351,St Marys ST,ST,Western,"403,600","403,600","403,600","403,600","403,600","648,000","468,000","531,000","441,000","720,000","520,000","590,000","490,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,083","1,494","1,564","1,698","1,790","1,083","1,494","1,564","1,698",Rent; CD,Rent; CD,Rent; CD,Rent; CD
352,St Thomas C,ST,Western,"341,500","341,500","341,500","341,500","341,500","522,000","450,000","477,000","513,000","580,000","500,000","530,000","570,000",Income; Base,Income; Base,Income; Base,Income; Base,959,"1,187","1,600","1,600","1,600",959,"1,187","1,606","2,241",Rent; Base,Rent; Base,Income; Base,Income; Base
353,St-Charles M,ST,Northeastern,"349,200","261,000","252,000","324,000","349,200","414,000","261,000","252,000","324,000","460,000","290,000","280,000","360,000",Income; Base,Price; Region,Price; Region,Price; Region,879,"1,173","1,430","1,643","1,660",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Rent; Region
354,Stirling-Rawdon Tp,LT,Eastern,"364,700","364,700","364,700","364,700","364,700","522,000","378,000","459,000","405,000","580,000","420,000","510,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,065","1,340","1,484","1,790","1,790","1,065","1,340","1,484","1,858",Rent; CD,Rent; CD,Rent; CD,Income; Base
355,Stone Mills Tp,LT,Eastern,"403,600","403,600","403,600","403,600","403,600","576,000","450,000","423,000","405,000","640,000","500,000","470,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,955,"1,206","1,298","1,930","1,930",955,"1,206","1,298","2,142",Rent; CD,Rent; CD,Rent; CD,Income; Base
356,Stratford C,ST,Western,"357,000","357,000","357,000","357,000","357,000","666,000","486,000","504,000","450,000","740,000","540,000","560,000","500,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,074","1,508","1,663","1,750","1,750","1,074","1,508","1,663","1,776",Rent; Base,Rent; Base,Rent; Base,Income; Base
357,Strathroy-Caradoc M,LT,Western,"411,300","411,300","411,300","411,300","411,300","639,000","414,000","513,000","567,000","710,000","460,000","570,000","630,000",Income; Base,Income; Base,Income; Base,Income; Base,973,"1,157","1,492","1,780","1,780",973,"1,157","1,492","1,976",Rent; Base,Rent; Base,Rent; Base,Income; Base
358,Strong Tp,ST,Northeastern,"341,500","261,000","341,500","341,500","341,500","549,000","261,000","612,000","675,000","610,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,530","1,530",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; CD
359,Sundridge V,ST,Northeastern,"279,400","261,000","279,400","279,400","279,400","414,000","261,000","612,000","675,000","460,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,530","1,530",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; CD
360,Tarbutt Tp,ST,Northeastern,"342,000","207,000","234,000","306,000","457,900","342,000","207,000","234,000","306,000","380,000","230,000","260,000","340,000",Price; CD,Price; CD,Price; CD,Price; CD,918,"1,109","1,249","1,329","1,460",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
361,Tay Tp,LT,Central,"380,300","380,300","380,300","380,300","380,300","630,000","639,000","603,000","567,000","700,000","710,000","670,000","630,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,003","1,475","1,651","1,833","2,170","1,003","1,475","1,651","1,833",Rent; CD,Rent; CD,Rent; CD,Rent; CD
362,Tay Valley Tp,LT,Eastern,"399,700","399,700","399,700","387,000","399,700","612,000","459,000","522,000","387,000","680,000","510,000","580,000","430,000",Income; Base,Income; Base,Income; Base,Price; CD,"1,281","1,519","2,020","2,020","2,020","1,281","1,519","2,361","2,142",Rent; Region,Rent; CD,Income; Base,Income; Base
363,Tecumseh T,LT,Western,"488,900","488,900","488,900","450,000","488,900","720,000","513,000","495,000","450,000","800,000","570,000","550,000","500,000",Income; Base,Income; Base,Income; Base,Price; Base,942,"1,374","1,864","1,744","1,990",942,"1,374","1,864","1,744",Rent; CD,Rent; Base,Rent; Base,Rent; Region
364,Tehkummah Tp,ST,Northeastern,"271,600","261,000","252,000","271,600","271,600","396,000","261,000","252,000","324,000","440,000","290,000","280,000","360,000",Income; Base,Price; Region,Price; Region,Income; Base,879,"1,173","1,430","1,643","1,760",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Rent; Region
365,Temagami M,ST,Northeastern,"285,200","285,200","285,200","285,200","285,200","450,000","333,000","306,000","333,000","500,000","370,000","340,000","370,000",Income; Base,Income; Base,Income; Base,Income; Base,807,"1,051","1,367","1,570","1,570",807,"1,051","1,367","1,682",Rent; CD,Rent; CD,Rent; CD,Income; CD
366,Temiskaming Shores C,ST,Northeastern,"342,000","261,000","243,000","324,000","349,200","342,000","261,000","243,000","324,000","380,000","290,000","270,000","360,000",Price; Base,Price; Region,Price; CD,Price; Region,879,"1,173","1,360","1,360","1,360",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; Base,Income; Base
367,Terrace Bay Tp,ST,Northwestern,"180,000","243,000","333,000","306,000","380,300","180,000","243,000","333,000","306,000","200,000","270,000","370,000","340,000",Price; Base,Price; CD,Price; CD,Price; CD,976,"1,173","1,495","1,864","1,940",976,"1,173","1,495","1,864",Rent; CD,Rent; CD,Rent; CD,Rent; CD
368,Thames Centre M,LT,Western,"508,300","441,000","468,000","508,300","508,300","846,000","441,000","468,000","603,000","940,000","490,000","520,000","670,000",Income; Base,Price; CD,Price; CD,Income; Base,"1,079","1,381","1,654","1,976","2,200","1,079","1,381","1,654","1,976",Rent; CD,Rent; CD,Rent; CD,Rent; CD
369,The Archipelago Tp,ST,Northeastern,"368,600","261,000","368,600","368,600","368,600","720,000","261,000","612,000","675,000","800,000","290,000","680,000","750,000",Income; Base,Price; Region,Income; Base,Income; Base,879,"1,173","1,430","1,530","1,530",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Rent; Region,Income; CD
370,The Blue Mountains T,LT,Western,"488,900","488,900","488,900","488,900","488,900","1,503,000","1,098,000","765,000","585,000","1,670,000","1,220,000","850,000","650,000",Income; Base,Income; Base,Income; Base,Income; Base,929,"1,101","1,243","1,350","2,140",929,"1,101","1,243","1,350",Rent; CD,Rent; CD,Rent; CD,Rent; CD
371,The Nation M,LT,Eastern,"465,600","441,000","441,000","369,000","465,600","504,000","441,000","441,000","369,000","560,000","490,000","490,000","410,000",Income; Base,Price; Base,Price; Base,Price; Base,590,948,"1,463","2,142","2,150",590,948,"1,463","2,142",Rent; CD,Rent; CD,Rent; CD,Rent; Region
372,The North Shore Tp,ST,Northeastern,"342,000","207,000","234,000","306,000","380,300","342,000","207,000","234,000","306,000","380,000","230,000","260,000","340,000",Price; CD,Price; CD,Price; CD,Price; CD,918,"1,109","1,249","1,329","1,460",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
373,The South Bruce Peninsula T,LT,Western,"325,900","325,900","325,900","325,900","325,900","621,000","459,000","531,000","549,000","690,000","510,000","590,000","610,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,082","1,254","1,410","1,410","1,410","1,082","1,254","1,783","1,828",Rent; Region,Rent; CD,Income; Base,Income; Base
374,Thessalon T,ST,Northeastern,"296,800","207,000","234,000","296,800","296,800","342,000","207,000","234,000","306,000","380,000","230,000","260,000","340,000",Income; Base,Price; CD,Price; CD,Income; Base,918,"1,109","1,249","1,329","1,330",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
375,Thornloe V,ST,Northeastern,"297,000","261,000","243,000","324,000","341,500","297,000","261,000","243,000","324,000","330,000","290,000","270,000","360,000",Price; CD,Price; Region,Price; CD,Price; Region,879,"1,173","1,380","1,380","1,380",879,"1,173","1,430","1,643",Rent; Region,Rent; Region,Income; CD,Income; CD
376,Thorold C,LT,Central,"384,200","384,200","384,200","384,200","384,200","657,000","522,000","594,000","486,000","730,000","580,000","660,000","540,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,183","1,171","1,442","1,643","1,960","1,183","1,171","1,442","1,643",Rent; CD,Rent; Base,Rent; Base,Rent; CD
377,Thunder Bay C,ST,Northwestern,"351,000","243,000","324,000","306,000","360,900","351,000","243,000","324,000","306,000","390,000","270,000","360,000","340,000",Price; Base,Price; Base,Price; Base,Price; Base,976,"1,173","1,495","1,680","1,680",976,"1,173","1,495","1,864",Rent; Base,Rent; Base,Rent; Base,Income; Base
378,Tillsonburg T,LT,Western,"337,600","337,600","337,600","337,600","337,600","612,000","495,000","477,000","576,000","680,000","550,000","530,000","640,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,184","1,195","1,308","1,660","1,660","1,184","1,195","1,308","1,926",Rent; Base,Rent; Base,Rent; Base,Income; Base
379,Timmins C,ST,Northeastern,"297,000","198,000","216,000","324,000","391,900","297,000","198,000","216,000","324,000","330,000","220,000","240,000","360,000",Price; Base,Price; Base,Price; Base,Price; Base,859,"1,185","1,299","1,410","1,660",859,"1,185","1,299","1,410",Rent; Base,Rent; Base,Rent; Base,Rent; Base
380,Tiny Tp,LT,Central,"403,600","403,600","403,600","403,600","403,600","873,000","639,000","630,000","567,000","970,000","710,000","700,000","630,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,003","1,475","1,651","1,833","2,110","1,003","1,475","1,651","1,833",Rent; CD,Rent; CD,Rent; CD,Rent; CD
381,Toronto C,ST,Central,"395,800","395,800","395,800","395,800","395,800","1,620,000","1,215,000","918,000","675,000","1,800,000","1,350,000","1,020,000","750,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,499","1,763","2,055","2,290","2,290","1,499","1,763","2,055","2,361",Rent; Base,Rent; Base,Rent; Base,Income; Base
382,Trent Hills M,LT,Eastern,"341,500","341,500","341,500","341,500","341,500","594,000","531,000","387,000","558,000","660,000","590,000","430,000","620,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,148","1,465","1,582","1,590","1,590","1,148","1,465","1,582","1,895",Rent; CD,Rent; CD,Rent; CD,Income; Base
383,Trent Lakes M,LT,Eastern,"384,200","384,200","384,200","384,200","384,200","855,000","486,000","531,000","558,000","950,000","540,000","590,000","620,000",Income; Base,Income; Base,Income; Base,Income; Base,990,"1,245","1,518","1,730","2,350",990,"1,245","1,518","1,730",Rent; CD,Rent; CD,Rent; CD,Rent; CD
384,Tudor and Cashel Tp,LT,Eastern,"258,000","258,000","258,000","258,000","258,000","540,000","378,000","459,000","405,000","600,000","420,000","510,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,065","1,340","1,484","1,710","1,710","1,065","1,340","1,484","1,858",Rent; CD,Rent; CD,Rent; CD,Income; CD
385,Tweed M,LT,Eastern,"314,300","314,300","314,300","314,300","314,300","486,000","378,000","459,000","405,000","540,000","420,000","510,000","450,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,065","1,340","1,484","1,500","1,500","1,065","1,340","1,484","1,858",Rent; CD,Rent; CD,Rent; CD,Income; Base
386,Tyendinaga Tp,LT,Eastern,"442,400","378,000","442,400","405,000","442,400","603,000","378,000","459,000","405,000","670,000","420,000","510,000","450,000",Income; Base,Price; CD,Income; Base,Price; CD,"1,065","1,340","1,484","1,770","1,770","1,065","1,340","1,484","1,858",Rent; CD,Rent; CD,Rent; CD,Income; Base
387,Uxbridge Tp,LT,Central,"558,800","558,800","558,800","558,800","558,800","1,278,000","711,000","999,000","1,008,000","1,420,000","790,000","1,110,000","1,120,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,330","1,573","1,748","1,909","2,030","1,330","1,573","1,748","1,909",Rent; CD,Rent; CD,Rent; CD,Rent; CD
388,Val Rita-Harty Tp,ST,Northeastern,"279,000","198,000","207,000","315,000","430,700","279,000","198,000","207,000","315,000","310,000","220,000","230,000","350,000",Price; CD,Price; CD,Price; CD,Price; CD,859,"1,185","1,299","1,410","1,620",859,"1,185","1,299","1,410",Rent; CD,Rent; CD,Rent; CD,Rent; CD
389,Vaughan C,LT,Central,"574,300","574,300","574,300","574,300","574,300","1,584,000","1,035,000","981,000","612,000","1,760,000","1,150,000","1,090,000","680,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,297","1,783","2,024","2,600","2,600","1,297","1,783","2,024","2,658",Rent; CD,Rent; CD,Rent; CD,Income; Base
390,Wainfleet Tp,LT,Central,"434,600","434,600","434,600","434,600","434,600","819,000","531,000","612,000","486,000","910,000","590,000","680,000","540,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,183","1,313","1,527","1,643","1,930","1,183","1,313","1,527","1,643",Rent; CD,Rent; CD,Rent; CD,Rent; CD
391,Warwick Tp,LT,Western,"395,800","360,000","342,000","395,800","395,800","486,000","360,000","342,000","405,000","540,000","400,000","380,000","450,000",Income; Base,Price; CD,Price; CD,Income; Base,988,"1,249","1,522","1,712","2,140",988,"1,249","1,522","1,712",Rent; CD,Rent; CD,Rent; CD,Rent; CD
392,Wasaga Beach T,LT,Central,"345,300","345,300","345,300","345,300","345,300","720,000","567,000","540,000","396,000","800,000","630,000","600,000","440,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,003","1,475","1,651","1,833","2,060","1,003","1,475","1,651","1,833",Rent; CD,Rent; CD,Rent; CD,Rent; CD
393,Waterloo C,LT,Western,"442,400","442,400","442,400","442,400","442,400","972,000","603,000","612,000","468,000","1,080,000","670,000","680,000","520,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,375","1,771","1,917","1,991","2,140","1,375","1,771","1,917","1,991",Rent; Base,Rent; Base,Rent; Base,Rent; Base
394,Wawa M,ST,Northeastern,"342,000","207,000","234,000","306,000","380,300","342,000","207,000","234,000","306,000","380,000","230,000","260,000","340,000",Price; CD,Price; CD,Price; CD,Price; CD,918,"1,109","1,249","1,329","1,500",918,"1,109","1,249","1,329",Rent; CD,Rent; CD,Rent; CD,Rent; CD
395,Welland C,LT,Central,"329,800","329,800","329,800","329,800","329,800","576,000","486,000","540,000","477,000","640,000","540,000","600,000","530,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,212","1,190","1,493","1,600","1,600","1,212","1,190","1,493","1,643",Rent; Base,Rent; Base,Rent; Base,Income; Base
396,Wellesley Tp,LT,Western,"558,800","558,800","558,800","459,000","558,800","1,008,000","603,000","594,000","459,000","1,120,000","670,000","660,000","510,000",Income; Base,Income; Base,Income; Base,Price; CD,"1,261","1,545","1,832","1,980","2,540","1,261","1,545","1,832","1,980",Rent; CD,Rent; CD,Rent; CD,Rent; CD
397,Wellington North Tp,LT,Western,"360,900","360,900","360,900","360,900","360,900","675,000","459,000","531,000","468,000","750,000","510,000","590,000","520,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,317","1,602","1,680","1,680","1,680","1,317","1,602","1,781","2,045",Rent; CD,Rent; CD,Income; Base,Income; Base
398,West Elgin M,LT,Western,"353,100","353,100","353,100","353,100","353,100","477,000","450,000","513,000","513,000","530,000","500,000","570,000","570,000",Income; Base,Income; Base,Income; Base,Income; Base,959,"1,187","1,599","1,760","1,760",959,"1,187","1,599","2,241",Rent; CD,Rent; CD,Rent; CD,Income; Base
399,West Grey M,LT,Western,"360,900","360,900","360,900","360,900","360,900","711,000","621,000","513,000","621,000","790,000","690,000","570,000","690,000",Income; Base,Income; Base,Income; Base,Income; Base,929,"1,101","1,055","1,350","1,530",929,"1,101","1,055","1,350",Rent; CD,Rent; CD,Rent; Base,Rent; CD
400,West Lincoln Tp,LT,Central,"477,300","477,300","477,300","477,300","477,300","864,000","594,000","567,000","639,000","960,000","660,000","630,000","710,000",Income; Base,Income; Base,Income; Base,Income; Base,"1,183","1,313","1,527","1,643","2,420","1,183","1,313","1,527","1,643",Rent; CD,Rent; CD,Rent; CD,Rent; CD
401,West Nipissing M,ST,Northeastern,"325,900","325,900","306,000","325,900","325,900","396,000","333,000","306,000","333,000","440,000","370,000","340,000","370,000",Income; Base,Income; Base,Price; CD,Income; Base,807,"1,051","1,367","1,380","1,380",807,"1,051","1,367","1,682",Rent; CD,Rent; CD,Rent; CD,Income; Base
